seq_id,alignment_start,alignment_end,envelope_start,envelope_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,bit_score,E-value,significance,clan
ATCG00040.1,382,497,380,505,PF01348.20,Intron_maturas2,Family,3,132,140,141.0,2.1e-41,1,CL0359
ATCG01080.1,22,172,22,173,PF00499.19,Oxidored_q3,Family,1,136,137,114.6,2.6e-33,1,No_clan
ATCG00270.1,29,318,29,327,PF00124.18,Photo_RC,Family,1,256,260,253.1,2.4e-75,1,No_clan
ATCG01010.1,72,128,72,129,PF00662.19,Proton_antipo_N,Family,1,57,58,67.8,5.8e-19,1,No_clan
ATCG01010.1,141,442,141,442,PF00361.19,Proton_antipo_M,Family,1,293,293,330.6,7.1e-99,1,CL0425
ATCG01010.1,448,690,448,690,PF01010.18,Proton_antipo_C,Family,1,243,243,355.7,1.2e-106,1,No_clan
ATCG01040.1,70,320,70,320,PF01578.19,Cytochrom_C_asm,Family,1,214,214,241.1,9.4e-72,1,CL0328
ATCG00550.1,1,40,1,40,PF01788.16,PsbJ,Family,1,39,39,77.2,5.7e-22,1,No_clan
ATCG01070.1,6,95,5,98,PF00420.23,Oxidored_q2,Family,2,102,105,91.9,1.6e-26,1,No_clan
ATCG00140.1,11,73,11,74,PF00137.20,ATP-synt_C,Family,1,59,60,68.2,5.3e-19,1,No_clan
ATCG00720.1,22,210,21,210,PF00033.18,Cytochrome_B,Domain,2,189,189,289.7,9.2e-87,1,CL0328
ATCG00220.1,1,31,1,31,PF05151.11,PsbM,Family,1,31,31,66.7,1e-18,1,No_clan
ATCG00540.1,36,190,36,190,PF16639.4,Apocytochr_F_N,Domain,1,155,155,263.0,9.2e-79,1,No_clan
ATCG00540.1,202,320,202,320,PF01333.18,Apocytochr_F_C,Domain,1,118,118,163.0,2.3e-48,1,CL0105
ATCG00150.1,43,241,42,242,PF00119.19,ATP-synt_A,Domain,2,210,211,175.0,1.9e-51,1,No_clan
ATCG00130.1,27,156,26,157,PF00430.17,ATP-synt_B,Family,2,131,132,107.6,4.5e-31,1,CL0255
ATCG00730.1,65,153,65,158,PF00032.16,Cytochrom_B_C,Domain,1,89,103,70.0,1.6e-19,1,No_clan
ATCG00560.1,3,38,2,38,PF02419.16,PsbL,Family,2,37,37,85.6,1.4e-24,1,No_clan
ATCG00630.1,1,37,1,37,PF01701.17,PSI_PsaJ,Family,1,37,37,76.1,2.1e-21,1,No_clan
ATCG00530.1,3,229,2,229,PF03040.13,CemA,Family,2,229,229,241.1,1.3e-71,1,No_clan
AT2G35740.1,30,363,29,378,PF00083.23,Sugar_tr,Family,2,339,452,305.0,8.1e-91,1,CL0015
AT2G35740.1,451,558,428,559,PF00083.23,Sugar_tr,Family,341,451,452,97.1,9.7e-28,1,CL0015
AT2G26900.1,132,310,132,312,PF01758.15,SBF,Family,1,193,195,175.3,1e-51,1,CL0064
AT2G05180.1,42,428,42,442,PF00067.21,p450,Domain,1,391,463,251.0,1.9e-74,1,No_clan
AT2G02510.1,14,53,13,67,PF08122.11,NDUF_B12,Family,6,48,56,25.2,1.2e-05,1,No_clan
AT2G16970.1,13,385,12,385,PF07690.15,MFS_1,Family,2,353,353,53.0,2.4e-14,1,CL0015
AT2G04100.1,40,199,40,200,PF01554.17,MatE,Family,1,160,161,105.1,2.6e-30,1,CL0222
AT2G04100.1,261,422,261,424,PF01554.17,MatE,Family,1,159,161,91.0,5.7e-26,1,CL0222
AT2G46620.1,33,118,26,120,PF14363.5,AAA_assoc,Family,8,93,96,41.6,1.1e-10,1,No_clan
AT2G46620.1,235,353,234,353,PF00004.28,AAA,Domain,2,132,132,49.8,4e-13,1,CL0023
AT2G15280.1,14,168,14,170,PF02453.16,Reticulon,Family,1,155,157,147.3,3.2e-43,1,No_clan
AT2G15280.2,14,120,14,124,PF02453.16,Reticulon,Family,1,107,157,87.0,1.1e-24,1,No_clan
AT2G16130.1,29,489,29,489,PF00083.23,Sugar_tr,Family,1,452,452,353.4,1.7e-105,1,CL0015
AT2G47560.1,107,150,106,150,PF13639.5,zf-RING_2,Domain,2,44,44,55.4,5.1e-15,1,CL0229
AT2G03840.1,18,262,16,268,PF00335.19,Tetraspannin,Family,3,225,231,74.8,7.8e-21,1,CL0347
AT2G19440.1,21,339,21,340,PF00332.17,Glyco_hydro_17,Domain,1,308,309,232.3,8.3e-69,1,CL0058
AT2G19440.1,361,431,361,431,PF07983.12,X8,Domain,1,76,76,60.4,1.8e-16,1,No_clan
AT2G38290.1,22,435,22,435,PF00909.20,Ammonium_transp,Family,1,399,399,273.0,3e-81,1,No_clan
AT2G38290.2,4,319,1,319,PF00909.20,Ammonium_transp,Family,87,399,399,237.9,1.4e-70,1,No_clan
AT2G38940.1,26,515,23,517,PF00083.23,Sugar_tr,Family,3,449,452,160.9,4.2e-47,1,CL0015
AT2G03530.1,41,393,41,393,PF07168.10,Ureide_permease,Family,1,359,359,646.3,9.1e-195,1,CL0184
AT2G03530.2,41,393,41,393,PF07168.10,Ureide_permease,Family,1,359,359,646.3,9.1e-195,1,CL0184
AT2G18950.1,116,381,112,381,PF01040.17,UbiA,Family,5,252,252,145.6,1.5e-42,1,CL0613
AT2G21910.1,60,490,31,503,PF00067.21,p450,Domain,28,448,463,202.3,1.1e-59,1,No_clan
AT2G40160.2,77,128,75,129,PF14416.5,PMR5N,Domain,3,52,53,75.4,2.9e-21,1,No_clan
AT2G40160.2,130,419,130,421,PF13839.5,PC-Esterase,Family,1,281,284,298.0,7.9e-89,1,CL0264
AT2G40160.1,77,128,75,129,PF14416.5,PMR5N,Domain,3,52,53,75.5,2.7e-21,1,No_clan
AT2G40160.1,130,419,130,422,PF13839.5,PC-Esterase,Family,1,281,284,298.4,6.3e-89,1,CL0264
AT2G01480.1,157,487,157,487,PF10250.8,O-FucT,Family,1,328,328,260.9,2.2e-77,1,CL0113
AT2G25610.1,26,85,26,85,PF00137.20,ATP-synt_C,Family,1,60,60,54.6,9.4e-15,1,No_clan
AT2G25610.1,110,169,110,169,PF00137.20,ATP-synt_C,Family,1,60,60,38.5,1e-09,1,No_clan
AT2G40900.1,11,151,9,153,PF00892.19,EamA,Family,3,135,137,50.1,2.8e-13,1,CL0184
AT2G40900.1,179,317,178,318,PF00892.19,EamA,Family,2,136,137,49.3,5.1e-13,1,CL0184
AT2G46440.1,40,363,38,364,PF00520.30,Ion_trans,Family,4,244,245,86.8,1.2e-24,1,CL0030
AT2G34390.1,43,260,40,260,PF00230.19,MIP,Family,4,227,227,187.3,3e-55,1,No_clan
AT2G45310.1,99,336,99,356,PF01370.20,Epimerase,Family,1,231,241,171.3,2.2e-50,1,CL0063
AT2G40950.1,227,288,226,289,PF00170.20,bZIP_1,Family,2,63,64,42.7,4e-11,1,CL0018
AT2G37330.1,26,259,22,259,PF03649.12,UPF0014,Family,5,242,242,224.7,1e-66,1,No_clan
AT2G39920.1,110,275,74,277,PF03767.13,Acid_phosphat_B,Family,36,228,230,61.0,1.1e-16,1,CL0137
AT2G39920.3,110,275,74,277,PF03767.13,Acid_phosphat_B,Family,36,228,230,61.0,1.1e-16,1,CL0137
AT2G39920.2,110,274,74,276,PF03767.13,Acid_phosphat_B,Family,36,228,230,61.3,8.9e-17,1,CL0137
AT2G17470.1,31,502,30,502,PF11744.7,ALMT,Family,2,469,469,643.7,1.6e-193,1,CL0307
AT2G38480.1,44,170,41,170,PF04535.11,DUF588,Domain,4,150,150,91.8,3.3e-26,1,CL0396
AT2G38905.1,6,53,5,53,PF01679.16,Pmp3,Family,2,49,49,74.9,3.8e-21,1,No_clan
AT2G31360.1,62,275,61,283,PF00487.23,FA_desaturase,Domain,2,234,254,72.2,5.3e-20,1,No_clan
AT2G45580.1,39,496,39,502,PF00067.21,p450,Domain,1,455,463,339.1,3.7e-101,1,No_clan
AT2G01830.2,201,382,200,382,PF03924.12,CHASE,Domain,2,188,188,132.0,2.2e-38,1,CL0165
AT2G01830.2,472,537,472,537,PF00512.24,HisKA,Domain,1,64,64,61.8,4.3e-17,1,CL0025
AT2G01830.2,584,759,584,760,PF02518.25,HATPase_c,Domain,1,110,111,122.7,9.2e-36,1,CL0025
AT2G01830.2,947,1067,947,1068,PF00072.23,Response_reg,Domain,1,111,112,78.2,4.6e-22,1,CL0304
AT2G01830.1,178,359,177,359,PF03924.12,CHASE,Domain,2,188,188,132.1,2.1e-38,1,CL0165
AT2G01830.1,449,514,449,514,PF00512.24,HisKA,Domain,1,64,64,61.8,4.2e-17,1,CL0025
AT2G01830.1,561,736,561,737,PF02518.25,HATPase_c,Domain,1,110,111,122.7,8.9e-36,1,CL0025
AT2G01830.1,924,1044,924,1045,PF00072.23,Response_reg,Domain,1,111,112,78.2,4.5e-22,1,CL0304
AT2G01830.3,178,359,177,359,PF03924.12,CHASE,Domain,2,188,188,132.1,2.1e-38,1,CL0165
AT2G01830.3,449,514,449,514,PF00512.24,HisKA,Domain,1,64,64,61.8,4.2e-17,1,CL0025
AT2G01830.3,561,736,561,737,PF02518.25,HATPase_c,Domain,1,110,111,122.7,8.9e-36,1,CL0025
AT2G01830.3,924,1044,924,1045,PF00072.23,Response_reg,Domain,1,111,112,78.2,4.5e-22,1,CL0304
AT2G22530.1,226,301,192,333,PF01663.21,Phosphodiest,Family,170,237,357,37.0,2.7e-09,1,CL0088
AT2G07739.1,21,178,21,196,PF05758.11,Ycf1,Family,1,157,945,346.7,2.4e-103,1,No_clan
AT2G20680.1,66,378,46,382,PF00150.17,Cellulase,Domain,17,276,281,56.6,2.4e-15,1,CL0058
AT2G26640.1,92,381,92,381,PF08392.11,FAE1_CUT1_RppA,Family,1,290,290,469.6,3.3e-141,1,CL0046
AT2G26640.1,398,478,395,479,PF08541.9,ACP_syn_III_C,Domain,12,89,90,40.9,1.6e-10,1,CL0046
AT2G28520.1,37,814,36,814,PF01496.18,V_ATPase_I,Family,2,812,812,960.5,5.6e-289,1,No_clan
AT2G29900.1,16,387,13,387,PF01080.16,Presenilin,Family,5,399,399,386.1,1.4e-115,1,CL0130
AT2G31440.1,2,238,2,245,PF06105.11,Aph-1,Family,1,223,231,207.5,1.7e-61,1,No_clan
AT2G40710.1,1,78,1,78,PF03006.19,HlyIII,Family,146,224,224,80.8,1.1e-22,1,CL0192
AT2G32040.1,137,550,137,559,PF03092.15,BT1,Family,1,515,524,404.1,6.3e-121,1,CL0015
AT2G27300.1,16,139,15,140,PF02365.14,NAM,Family,2,116,117,111.6,3.9e-32,1,No_clan
AT2G02970.1,85,490,80,498,PF01150.16,GDA1_CD39,Family,8,415,423,267.9,1.2e-79,1,CL0108
AT2G44110.2,6,465,5,486,PF03094.14,Mlo,Family,2,461,479,645.4,3.7e-194,1,No_clan
AT2G44110.1,6,464,5,485,PF03094.14,Mlo,Family,2,461,479,649.5,2.2e-195,1,No_clan
AT2G15440.1,99,287,98,287,PF04669.12,Polysacc_synt_4,Family,2,190,190,243.2,1.4e-72,1,No_clan
AT2G01170.1,33,489,33,494,PF13520.5,AA_permease_2,Family,1,423,425,206.4,6.2e-61,1,CL0062
AT2G01170.2,1,410,1,415,PF13520.5,AA_permease_2,Family,45,423,425,190.8,3.4e-56,1,CL0062
AT2G39445.1,60,177,59,177,PF08510.11,PIG-P,Family,2,121,121,121.1,2.3e-35,1,No_clan
AT2G17050.1,45,270,31,283,PF00931.21,NB-ARC,Domain,18,265,288,54.5,8.1e-15,1,CL0023
AT2G17050.1,437,456,437,456,PF07725.11,LRR_3,Repeat,1,20,20,37.3,1.4e-09,1,CL0022
AT2G17050.1,1125,1289,1124,1311,PF01582.19,TIR,Family,2,161,176,79.7,2e-22,1,CL0173
AT2G04900.1,37,116,37,116,PF04241.14,DUF423,Family,1,88,88,73.1,1.4e-20,1,No_clan
AT2G04900.2,37,97,37,98,PF04241.14,DUF423,Family,1,69,88,49.5,3.3e-13,1,No_clan
AT2G13650.1,35,317,31,324,PF03151.15,TPT,Family,6,282,290,47.0,1.9e-12,1,CL0184
AT2G13650.3,35,317,31,324,PF03151.15,TPT,Family,6,282,290,47.0,1.9e-12,1,CL0184
AT2G13650.2,35,283,31,284,PF03151.15,TPT,Family,6,248,290,39.3,4.3e-10,1,CL0184
AT2G24630.1,228,460,227,462,PF13641.5,Glyco_tranf_2_3,Domain,3,228,230,75.1,7.1e-21,1,CL0110
AT2G35610.1,159,383,157,383,PF03407.15,Nucleotid_trans,Family,3,212,212,200.0,4.1e-59,1,CL0110
AT2G30460.1,21,294,14,294,PF03151.15,TPT,Family,13,290,290,72.0,4.6e-20,1,CL0184
AT2G30460.2,21,294,14,294,PF03151.15,TPT,Family,13,290,290,72.0,4.6e-20,1,CL0184
AT2G23640.1,16,170,16,172,PF02453.16,Reticulon,Family,1,155,157,123.9,4.9e-36,1,No_clan
AT2G31740.1,74,176,73,176,PF08241.11,Methyltransf_11,Domain,2,95,95,68.9,4.1e-19,1,CL0063
AT2G35170.1,231,249,231,253,PF02493.19,MORN,Repeat,1,19,23,21.3,0.00015,1,CL0251
AT2G35170.1,254,276,254,276,PF02493.19,MORN,Repeat,1,23,23,28.1,1.1e-06,1,CL0251
AT2G35170.1,277,299,277,299,PF02493.19,MORN,Repeat,1,23,23,26.5,3.5e-06,1,CL0251
AT2G35170.1,300,322,300,322,PF02493.19,MORN,Repeat,1,23,23,32.8,3.3e-08,1,CL0251
AT2G35170.1,323,344,323,345,PF02493.19,MORN,Repeat,1,22,23,25.7,6.3e-06,1,CL0251
AT2G35170.1,346,367,346,368,PF02493.19,MORN,Repeat,1,22,23,26.6,3.2e-06,1,CL0251
AT2G35170.1,369,391,369,391,PF02493.19,MORN,Repeat,1,23,23,26.4,3.6e-06,1,CL0251
AT2G46493.1,138,180,136,180,PF13639.5,zf-RING_2,Domain,3,44,44,49.0,5.3e-13,1,CL0229
AT2G25520.1,20,306,16,306,PF03151.15,TPT,Family,5,290,290,82.9,2.2e-23,1,CL0184
AT2G04350.1,123,588,110,588,PF00501.27,AMP-binding,Family,13,423,423,361.2,5.3e-108,1,CL0378
AT2G04350.2,123,588,110,588,PF00501.27,AMP-binding,Family,13,423,423,361.2,5.3e-108,1,CL0378
AT2G38360.1,51,193,49,193,PF03208.18,PRA1,Family,3,143,143,160.6,1.6e-47,1,No_clan
AT2G03590.1,41,385,41,385,PF07168.10,Ureide_permease,Family,1,359,359,628.0,3.3e-189,1,CL0184
AT2G32280.1,58,145,58,146,PF06749.11,DUF1218,Family,1,90,91,73.3,1.6e-20,1,No_clan
AT2G01470.1,158,180,147,181,PF00400.31,WD40,Repeat,15,37,38,15.7,0.019,1,CL0186
AT2G01470.1,193,222,186,222,PF00400.31,WD40,Repeat,8,38,38,16.5,0.011,1,CL0186
AT2G34960.1,68,489,68,507,PF13520.5,AA_permease_2,Family,1,418,425,153.8,5.7e-45,1,CL0062
AT2G34960.1,507,556,507,557,PF13906.5,AA_permease_C,Domain,1,50,51,60.0,1.6e-16,1,CL0062
AT2G07785.1,1,99,1,99,PF00146.20,NADHdh,Family,25,121,299,110.7,7.6e-32,1,No_clan
AT2G42950.1,295,435,283,441,PF01544.17,CorA,Family,151,286,292,32.9,3.9e-08,1,No_clan
AT2G40990.1,160,281,156,283,PF01529.19,DHHC,Family,6,132,134,118.8,1.6e-34,1,No_clan
AT2G32540.1,95,374,95,378,PF03552.13,Cellulose_synt,Family,1,292,722,264.2,2.5e-78,1,CL0110
AT2G32540.1,388,730,373,754,PF03552.13,Cellulose_synt,Family,353,683,722,155.3,2.2e-45,1,CL0110
AT2G35960.1,75,178,75,180,PF03168.12,LEA_2,Domain,1,99,101,39.2,7.3e-10,1,CL0159
AT2G46720.1,53,341,52,341,PF08392.11,FAE1_CUT1_RppA,Family,2,290,290,450.7,1.8e-135,1,CL0046
AT2G46720.1,358,438,356,439,PF08541.9,ACP_syn_III_C,Domain,12,89,90,40.3,2.5e-10,1,CL0046
AT2G45830.1,116,510,114,510,PF05686.11,Glyco_transf_90,Family,3,396,396,647.2,8.3e-195,1,CL0113
AT2G21610.1,53,328,50,329,PF01095.18,Pectinesterase,Family,4,297,298,226.5,2.6e-67,1,CL0268
AT2G02180.1,32,303,31,303,PF06454.10,DUF1084,Family,2,273,273,480.3,1.5e-144,1,No_clan
AT2G03250.1,1,33,1,47,PF03105.18,SPX,Domain,1,37,383,33.7,3.4e-08,1,No_clan
AT2G03250.1,60,305,38,305,PF03105.18,SPX,Domain,163,383,383,157.6,7.9e-46,1,No_clan
AT2G03250.1,394,734,394,734,PF03124.13,EXS,Family,1,329,329,284.8,8.6e-85,1,CL0182
AT2G22120.2,35,82,35,82,PF12906.6,RINGv,Domain,1,48,48,43.1,3.2e-11,1,CL0229
AT2G22120.1,35,82,35,82,PF12906.6,RINGv,Domain,1,48,48,43.3,2.7e-11,1,CL0229
AT2G46890.1,64,303,64,303,PF06966.11,DUF1295,Family,1,235,235,257.3,1.2e-76,1,CL0115
AT2G24180.1,37,480,37,494,PF00067.21,p450,Domain,1,446,463,337.1,1.5e-100,1,No_clan
AT2G13100.1,86,409,25,414,PF07690.15,MFS_1,Family,37,327,353,112.8,1.5e-32,1,CL0015
AT2G13100.2,127,310,126,324,PF07690.15,MFS_1,Family,2,174,353,44.1,1.2e-11,1,CL0015
AT2G13100.3,105,288,104,301,PF07690.15,MFS_1,Family,2,174,353,44.9,6.6e-12,1,CL0015
AT2G38100.1,62,410,62,462,PF00854.20,PTR2,Family,1,336,395,106.7,1.1e-30,1,CL0015
AT2G34770.1,88,226,87,226,PF04116.12,FA_hydroxylase,Family,2,133,133,55.2,8.6e-15,1,No_clan
AT2G39130.1,159,539,158,542,PF01490.17,Aa_trans,Family,2,406,409,214.3,2.2e-63,1,CL0062
AT2G13680.1,44,175,43,196,PF04652.15,Vta1,Family,2,121,145,50.8,1.5e-13,1,No_clan
AT2G13680.1,325,437,324,437,PF14288.5,FKS1_dom1,Family,2,109,109,139.8,3.5e-41,1,No_clan
AT2G13680.1,1040,1732,1039,1739,PF02364.14,Glucan_synthase,Family,2,728,818,800.1,2.2e-240,1,CL0111
AT2G45750.1,96,612,96,612,PF03141.15,Methyltransf_29,Family,1,506,506,772.6,1.4e-232,1,CL0063
AT2G30940.2,169,414,166,423,PF00069.24,Pkinase,Domain,4,254,264,88.0,6.1e-25,1,CL0016
AT2G30940.1,169,416,166,421,PF00069.24,Pkinase,Domain,4,258,264,90.0,1.4e-25,1,CL0016
AT2G41705.1,146,262,145,264,PF02537.14,CRCB,Family,2,93,95,57.2,1.5e-15,1,CL0184
AT2G41705.1,334,448,331,451,PF02537.14,CRCB,Family,4,92,95,61.0,9.4e-17,1,CL0184
AT2G41705.2,146,262,145,264,PF02537.14,CRCB,Family,2,93,95,57.2,1.5e-15,1,CL0184
AT2G41705.2,334,448,331,451,PF02537.14,CRCB,Family,4,92,95,61.0,9.4e-17,1,CL0184
AT2G19550.1,25,143,23,155,PF12146.7,Hydrolase_4,Family,3,117,239,47.4,1.3e-12,1,CL0028
AT2G28070.1,141,283,134,284,PF00005.26,ABC_tran,Domain,8,136,137,62.0,7.7e-17,1,CL0023
AT2G28070.1,443,653,441,653,PF01061.23,ABC2_membrane,Family,3,210,210,97.6,5.9e-28,1,CL0181
AT2G35420.1,102,145,101,145,PF13639.5,zf-RING_2,Domain,2,44,44,46.9,2.3e-12,1,CL0229
AT2G28260.1,79,398,76,400,PF00520.30,Ion_trans,Family,4,243,245,100.0,1.1e-28,1,CL0030
AT2G28260.1,494,582,491,587,PF00027.28,cNMP_binding,Domain,6,83,88,29.8,4.2e-07,1,CL0029
AT2G39210.1,21,266,21,266,PF06813.12,Nodulin-like,Family,1,250,250,333.6,6.6e-100,1,CL0015
AT2G39210.1,359,552,345,578,PF07690.15,MFS_1,Family,12,176,353,40.6,1.4e-10,1,CL0015
AT2G47040.1,40,186,39,186,PF04043.14,PMEI,Domain,2,154,154,60.9,1.6e-16,1,No_clan
AT2G47040.1,284,578,283,580,PF01095.18,Pectinesterase,Family,2,295,298,366.4,6.7e-110,1,CL0268
AT2G30770.1,40,472,40,488,PF00067.21,p450,Domain,1,439,463,324.8,7.7e-97,1,No_clan
AT2G07741.1,161,378,160,379,PF00119.19,ATP-synt_A,Domain,2,210,211,163.7,5.3e-48,1,No_clan
AT2G20130.1,102,203,102,207,PF04367.12,DUF502,Family,1,102,106,105.2,1.4e-30,1,No_clan
AT2G21050.1,38,431,38,432,PF01490.17,Aa_trans,Family,1,408,409,245.4,7.9e-73,1,CL0062
AT2G36330.1,132,265,129,265,PF04535.11,DUF588,Domain,4,150,150,111.7,2.3e-32,1,CL0396
AT2G28220.1,82,238,82,239,PF14543.5,TAXi_N,Domain,1,178,179,117.7,6.1e-34,1,CL0129
AT2G28220.1,262,402,261,406,PF14541.5,TAXi_C,Domain,2,154,161,62.1,5e-17,1,CL0129
AT2G28220.1,421,577,421,578,PF14543.5,TAXi_N,Domain,1,178,179,117.3,8.3e-34,1,CL0129
AT2G28220.1,601,747,600,748,PF14541.5,TAXi_C,Domain,2,160,161,61.9,5.6e-17,1,CL0129
AT2G17820.1,499,564,498,564,PF00512.24,HisKA,Domain,2,64,64,56.1,2.5e-15,1,CL0025
AT2G17820.1,611,759,611,763,PF02518.25,HATPase_c,Domain,1,107,111,85.2,4.1e-24,1,CL0025
AT2G17820.1,1117,1191,1095,1193,PF00072.23,Response_reg,Domain,40,110,112,64.8,6.8e-18,1,CL0304
AT2G31910.1,53,428,44,432,PF00999.20,Na_H_Exchanger,Family,10,373,381,185.8,9.5e-55,1,CL0064
AT2G29040.1,289,624,288,625,PF03016.14,Exostosin,Family,2,299,300,288.4,5.4e-86,1,No_clan
AT2G30750.1,40,471,40,489,PF00067.21,p450,Domain,1,438,463,323.3,2.3e-96,1,No_clan
AT2G33205.1,42,323,34,336,PF03348.14,Serinc,Family,17,308,426,178.0,2.8e-52,1,No_clan
AT2G33205.1,329,408,318,409,PF03348.14,Serinc,Family,347,425,426,73.8,1.2e-20,1,No_clan
AT2G37010.1,501,652,501,653,PF00005.26,ABC_tran,Domain,1,136,137,81.5,7.3e-23,1,CL0023
AT2G45960.3,44,261,44,269,PF00230.19,MIP,Family,1,215,227,245.8,4e-73,1,No_clan
AT2G45960.1,44,273,44,273,PF00230.19,MIP,Family,1,227,227,281.9,3.7e-84,1,No_clan
AT2G45960.2,44,255,44,261,PF00230.19,MIP,Family,1,209,227,244.9,7.7e-73,1,No_clan
AT2G39530.1,12,157,10,158,PF04535.11,DUF588,Domain,3,149,150,79.3,2.4e-22,1,CL0396
AT2G25160.1,35,501,35,508,PF00067.21,p450,Domain,1,456,463,270.4,2.4e-80,1,No_clan
AT2G41700.1,216,474,26,474,PF12698.6,ABC2_membrane_3,Family,98,345,345,94.4,6.6e-27,1,CL0181
AT2G41700.1,569,712,568,712,PF00005.26,ABC_tran,Domain,2,137,137,101.5,5e-29,1,CL0023
AT2G41700.1,979,1380,978,1381,PF12698.6,ABC2_membrane_3,Family,2,343,345,146.6,8.7e-43,1,CL0181
AT2G41700.1,1475,1617,1474,1618,PF00005.26,ABC_tran,Domain,2,136,137,92.8,2.4e-26,1,CL0023
AT2G41700.2,284,404,265,404,PF12698.6,ABC2_membrane_3,Family,239,345,345,32.1,5.9e-08,1,CL0181
AT2G41700.2,499,642,498,642,PF00005.26,ABC_tran,Domain,2,137,137,101.5,4.9e-29,1,CL0023
AT2G41700.2,899,1323,898,1326,PF12698.6,ABC2_membrane_3,Family,2,334,345,118.5,3.1e-34,1,CL0181
AT2G41700.2,1433,1575,1432,1576,PF00005.26,ABC_tran,Domain,2,136,137,92.8,2.3e-26,1,CL0023
AT2G35060.2,62,633,61,633,PF02705.15,K_trans,Family,2,534,534,626.5,3.3e-188,1,CL0062
AT2G35060.1,62,632,61,632,PF02705.15,K_trans,Family,2,534,534,632.9,3.6e-190,1,CL0062
AT2G33100.1,267,1025,267,1033,PF03552.13,Cellulose_synt,Family,1,710,722,1235.2,0,1,CL0110
AT2G20530.1,36,211,35,225,PF01145.24,Band_7,Family,2,177,178,82.1,4.4e-23,1,CL0433
AT2G20530.2,36,211,35,225,PF01145.24,Band_7,Family,2,177,178,82.1,4.4e-23,1,CL0433
AT2G20590.1,169,323,168,324,PF02453.16,Reticulon,Family,2,156,157,112.0,2.3e-32,1,No_clan
AT2G25220.2,152,419,151,422,PF00069.24,Pkinase,Domain,2,260,264,170.7,3.6e-50,1,CL0016
AT2G25220.1,129,396,128,399,PF00069.24,Pkinase,Domain,2,260,264,170.9,3.1e-50,1,CL0016
