seq_id,alignment_start,alignment_end,envelope_start,envelope_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,bit_score,E-value,significance,clan
AT2G15300.1,101,160,100,160,PF13855.5,LRR_8,Repeat,2,61,61,28.8,6.9e-07,1,CL0022
AT2G15300.1,484,737,477,739,PF00069.24,Pkinase,Domain,13,260,264,107.7,6e-31,1,CL0016
AT2G43610.1,31,64,28,64,PF00187.18,Chitin_bind_1,Domain,2,38,38,35.1,1.2e-08,1,No_clan
AT2G43610.1,92,228,91,235,PF00182.18,Glyco_hydro_19,Domain,2,157,232,133.9,7.1e-39,1,CL0037
AT2G43610.1,235,281,228,281,PF00182.18,Glyco_hydro_19,Domain,185,232,232,28.8,9.5e-07,1,CL0037
AT2G28960.1,35,352,35,352,PF12819.6,Malectin_like,Domain,1,336,336,326.0,2.5e-97,1,CL0468
AT2G28960.1,412,468,408,468,PF13855.5,LRR_8,Repeat,5,61,61,32.4,5.4e-08,1,CL0022
AT2G28960.1,576,840,574,842,PF00069.24,Pkinase,Domain,4,260,264,158.9,1.4e-46,1,CL0016
AT2G31980.1,80,141,71,142,PF16845.4,SQAPI,Domain,21,82,83,41.8,9.2e-11,1,CL0121
AT2G05510.2,1,90,1,98,PF07172.10,GRP,Family,1,95,95,56.0,4.7e-15,1,No_clan
AT2G05510.5,1,87,1,93,PF07172.10,GRP,Family,1,95,95,67.3,1.4e-18,1,No_clan
AT2G05510.6,1,82,1,86,PF07172.10,GRP,Family,1,90,95,78.4,4.6e-22,1,No_clan
AT2G05510.3,1,79,1,83,PF07172.10,GRP,Family,1,90,95,75.4,3.9e-21,1,No_clan
AT2G27145.1,26,78,25,78,PF07333.11,SLR1-BP,Domain,2,58,58,36.9,3.4e-09,1,CL0054
AT2G13790.1,30,72,29,72,PF08263.11,LRRNT_2,Family,2,41,41,40.7,2e-10,1,No_clan
AT2G13790.1,295,566,294,568,PF00069.24,Pkinase,Domain,2,260,264,158.0,2.7e-46,1,CL0016
AT2G17480.1,39,516,38,517,PF03094.14,Mlo,Family,2,478,479,697.3,7.2e-210,1,No_clan
AT2G34940.1,65,160,63,160,PF02225.21,PA,Family,3,93,93,42.4,5.1e-11,1,CL0364
AT2G13800.1,26,67,25,67,PF08263.11,LRRNT_2,Family,3,41,41,43.1,3.5e-11,1,No_clan
AT2G13800.1,276,547,275,549,PF00069.24,Pkinase,Domain,2,260,264,146.2,1e-42,1,CL0016
AT2G33580.1,197,233,197,239,PF01476.19,LysM,Domain,1,38,44,20.3,0.00041,1,CL0187
AT2G33580.1,380,638,378,640,PF00069.24,Pkinase,Domain,13,260,264,138.9,1.8e-40,1,CL0016
AT2G38010.2,26,626,26,626,PF04734.12,Ceramidase_alk,Domain,1,507,507,772.4,1.8e-232,1,No_clan
AT2G38010.2,628,791,628,791,PF17048.4,Ceramidse_alk_C,Domain,1,167,167,187.5,1.5e-55,1,No_clan
AT2G38010.1,26,591,26,591,PF04734.12,Ceramidase_alk,Domain,1,507,507,776.8,8.2e-234,1,No_clan
AT2G38010.1,593,756,593,756,PF17048.4,Ceramidse_alk_C,Domain,1,167,167,187.6,1.4e-55,1,No_clan
AT2G43510.1,29,87,28,88,PF00537.17,Toxin_3,Domain,2,54,55,61.7,5.3e-17,1,CL0054
AT2G46330.1,30,62,30,62,PF06376.11,AGP,Family,1,36,36,65.3,2.8e-18,1,No_clan
AT2G02140.1,29,73,29,73,PF00304.19,Gamma-thionin,Domain,1,47,47,54.0,1.3e-14,1,CL0054
AT2G27035.1,37,118,35,118,PF02298.16,Cu_bind_like,Domain,1,84,84,62.4,2.7e-17,1,CL0026
AT2G32680.1,99,159,98,159,PF13855.5,LRR_8,Repeat,2,61,61,31.9,7.7e-08,1,CL0022
AT2G32680.1,197,256,196,256,PF13855.5,LRR_8,Repeat,2,61,61,29.9,3.3e-07,1,CL0022
AT2G32680.1,268,288,268,291,PF00560.32,LRR_1,Repeat,1,21,23,12.0,0.22,1,CL0022
AT2G32680.1,365,383,363,384,PF13516.5,LRR_6,Repeat,3,21,24,10.9,0.36,1,CL0022
AT2G32680.1,528,588,528,588,PF13855.5,LRR_8,Repeat,1,61,61,33.9,1.8e-08,1,CL0022
AT2G32680.1,749,768,749,771,PF00560.32,LRR_1,Repeat,1,20,23,11.5,0.33,1,CL0022
AT2G22170.1,33,152,33,158,PF01477.22,PLAT,Domain,1,111,117,60.5,2e-16,1,CL0321
AT2G02580.1,32,489,32,493,PF00067.21,p450,Domain,1,459,463,336.8,1.8e-100,1,No_clan
AT2G03980.1,45,347,44,353,PF00657.21,Lipase_GDSL,Family,2,193,200,58.2,1e-15,1,CL0264
AT2G17860.1,29,249,29,249,PF00314.16,Thaumatin,Domain,1,217,217,279.8,1.4e-83,1,CL0293
AT2G28970.1,28,88,28,88,PF12819.6,Malectin_like,Domain,1,61,336,62.9,2.6e-17,1,CL0468
AT2G28970.1,90,252,89,252,PF12819.6,Malectin_like,Domain,167,336,336,159.4,1.2e-46,1,CL0468
AT2G28970.1,312,368,308,368,PF13855.5,LRR_8,Repeat,5,61,61,36.4,3.1e-09,1,CL0022
AT2G28970.1,482,746,480,748,PF00069.24,Pkinase,Domain,4,260,264,162.9,8.7e-48,1,CL0016
AT2G47470.1,25,128,24,129,PF00085.19,Thioredoxin,Domain,2,103,104,111.9,1.1e-32,1,CL0172
AT2G47470.1,143,247,142,248,PF00085.19,Thioredoxin,Domain,2,103,104,113.2,4.6e-33,1,CL0172
AT2G47470.1,264,357,264,357,PF07749.11,ERp29,Domain,1,95,95,80.1,1.6e-22,1,No_clan
AT2G47470.4,25,128,24,129,PF00085.19,Thioredoxin,Domain,2,103,104,112.1,9.7e-33,1,CL0172
AT2G47470.4,143,247,142,248,PF00085.19,Thioredoxin,Domain,2,103,104,113.4,4e-33,1,CL0172
AT2G47470.4,291,331,287,331,PF07749.11,ERp29,Domain,53,95,95,35.6,1.3e-08,1,No_clan
AT2G47470.3,25,128,24,129,PF00085.19,Thioredoxin,Domain,2,103,104,112.2,9e-33,1,CL0172
AT2G47470.3,143,247,142,248,PF00085.19,Thioredoxin,Domain,2,103,104,113.5,3.7e-33,1,CL0172
AT2G47470.2,25,128,24,129,PF00085.19,Thioredoxin,Domain,2,103,104,112.8,6e-33,1,CL0172
AT2G47470.2,143,247,142,248,PF00085.19,Thioredoxin,Domain,2,103,104,114.0,2.5e-33,1,CL0172
AT2G02120.1,31,77,31,77,PF00304.19,Gamma-thionin,Domain,1,47,47,66.2,2.1e-18,1,CL0054
AT2G02720.1,26,81,26,81,PF04431.12,Pec_lyase_N,Family,1,56,56,73.1,1.5e-20,1,No_clan
AT2G02720.1,186,366,178,366,PF00544.18,Pec_lyase_C,Domain,33,211,211,76.0,2.7e-21,1,CL0268
AT2G46850.1,39,133,37,134,PF13947.5,GUB_WAK_bind,Domain,4,105,106,31.6,2e-07,1,No_clan
AT2G46850.1,358,503,355,512,PF07714.16,Pkinase_Tyr,Domain,4,156,260,48.6,5.9e-13,1,CL0016
AT2G39180.1,177,198,175,205,PF13540.5,RCC1_2,Repeat,3,24,30,24.3,1.8e-05,1,CL0186
AT2G39180.1,251,276,250,280,PF13540.5,RCC1_2,Repeat,2,26,30,22.0,9.7e-05,1,CL0186
AT2G39180.1,523,677,519,680,PF07714.16,Pkinase_Tyr,Domain,5,162,260,121.5,3.3e-35,1,CL0016
AT2G03290.1,23,208,22,208,PF01105.23,EMP24_GP25L,Domain,2,182,182,161.4,2e-47,1,CL0521
AT2G01950.1,37,75,36,76,PF08263.11,LRRNT_2,Family,2,40,41,40.1,3.1e-10,1,No_clan
AT2G01950.1,129,189,128,190,PF13855.5,LRR_8,Repeat,3,61,61,29.3,5e-07,1,CL0022
AT2G01950.1,206,264,202,264,PF13855.5,LRR_8,Repeat,3,61,61,36.1,3.7e-09,1,CL0022
AT2G01950.1,277,338,277,338,PF13855.5,LRR_8,Repeat,1,61,61,30.5,2e-07,1,CL0022
AT2G01950.1,841,1051,838,1125,PF00069.24,Pkinase,Domain,4,205,264,147.2,5.3e-43,1,CL0016
AT2G24290.1,11,171,6,173,PF06364.11,DUF1068,Family,7,166,168,234.1,7.4e-70,1,No_clan
AT2G20030.1,123,166,122,166,PF13639.5,zf-RING_2,Domain,2,44,44,48.6,6.8e-13,1,CL0229
AT2G23200.1,41,384,41,384,PF12819.6,Malectin_like,Domain,1,336,336,126.5,1.2e-36,1,CL0468
AT2G23200.1,492,754,488,757,PF00069.24,Pkinase,Domain,5,258,264,153.6,5.7e-45,1,CL0016
AT2G25940.1,44,315,44,315,PF01650.17,Peptidase_C13,Family,1,256,256,375.8,9.8e-113,1,CL0093
AT2G45220.1,29,171,28,171,PF04043.14,PMEI,Domain,2,154,154,83.4,2e-23,1,No_clan
AT2G45220.1,206,497,206,498,PF01095.18,Pectinesterase,Family,1,297,298,464.4,9.5e-140,1,CL0268
AT2G28010.1,65,216,65,217,PF14543.5,TAXi_N,Domain,1,178,179,127.8,5e-37,1,CL0129
AT2G28010.1,241,387,240,388,PF14541.5,TAXi_C,Domain,2,160,161,74.7,6.4e-21,1,CL0129
AT2G15450.1,64,390,58,396,PF00295.16,Glyco_hydro_28,Domain,6,320,325,304.2,9.1e-91,1,CL0268
AT2G24170.1,55,593,55,594,PF02990.15,EMP70,Family,1,514,515,736.1,1.9e-221,1,No_clan
AT2G24450.1,35,135,35,153,PF02469.21,Fasciclin,Domain,1,100,128,28.9,9.8e-07,1,No_clan
AT2G16430.2,59,141,59,150,PF16656.4,Pur_ac_phosph_N,Domain,1,83,94,66.5,2.2e-18,1,CL0159
AT2G16430.2,161,359,160,359,PF00149.27,Metallophos,Domain,2,204,204,92.3,5.3e-26,1,CL0163
AT2G16430.2,385,444,385,446,PF14008.5,Metallophos_C,Domain,1,59,63,67.7,1.1e-18,1,No_clan
AT2G43880.1,58,384,58,387,PF00295.16,Glyco_hydro_28,Domain,1,323,325,304.6,7e-91,1,CL0268
AT2G02220.1,33,71,32,71,PF08263.11,LRRNT_2,Family,2,41,41,38.1,1.3e-09,1,No_clan
AT2G02220.1,102,159,100,159,PF13855.5,LRR_8,Repeat,3,61,61,28.2,1.1e-06,1,CL0022
AT2G02220.1,441,491,440,498,PF13855.5,LRR_8,Repeat,3,53,61,28.0,1.2e-06,1,CL0022
AT2G02220.1,528,583,527,583,PF13855.5,LRR_8,Repeat,6,61,61,33.5,2.4e-08,1,CL0022
AT2G02220.1,736,1003,734,1005,PF00069.24,Pkinase,Domain,3,260,264,148.4,2.3e-43,1,CL0016
AT2G20850.1,35,74,34,74,PF08263.11,LRRNT_2,Family,2,41,41,24.9,1.7e-05,1,No_clan
AT2G20850.1,123,182,122,182,PF13855.5,LRR_8,Repeat,2,61,61,31.0,1.4e-07,1,CL0022
AT2G20850.1,481,752,478,752,PF07714.16,Pkinase_Tyr,Domain,4,260,260,136.4,9.4e-40,1,CL0016
AT2G32300.1,34,115,34,115,PF02298.16,Cu_bind_like,Domain,1,84,84,98.7,1.3e-28,1,CL0026
AT2G16660.1,14,260,14,260,PF06813.12,Nodulin-like,Family,1,250,250,330.4,6.5e-99,1,CL0015
AT2G44210.2,80,202,78,202,PF14365.5,Neprosin_AP,Family,3,118,118,137.6,2.3e-40,1,No_clan
AT2G44210.2,215,438,215,438,PF03080.14,Neprosin,Family,1,220,220,299.4,1.2e-89,1,No_clan
AT2G44210.1,48,172,48,172,PF14365.5,Neprosin_AP,Family,1,118,118,140.8,2.4e-41,1,No_clan
AT2G44210.1,185,408,185,408,PF03080.14,Neprosin,Family,1,220,220,299.7,9.8e-90,1,No_clan
AT2G37130.1,47,291,46,291,PF00141.22,peroxidase,Domain,2,229,229,187.8,2.1e-55,1,CL0617
AT2G30310.1,35,346,35,349,PF00657.21,Lipase_GDSL,Family,1,197,200,53.0,3.8e-14,1,CL0264
AT2G34060.1,62,309,58,309,PF00141.22,peroxidase,Domain,5,229,229,222.2,6.5e-66,1,CL0617
AT2G02990.1,32,213,32,213,PF00445.17,Ribonuclease_T2,Domain,1,187,187,213.3,3e-63,1,No_clan
AT2G19130.1,69,179,69,180,PF01453.23,B_lectin,Domain,1,106,107,113.4,4.3e-33,1,No_clan
AT2G19130.1,209,319,209,320,PF00954.19,S_locus_glycop,Domain,1,110,111,120.0,6.3e-35,1,No_clan
AT2G19130.1,346,403,341,404,PF08276.10,PAN_2,Domain,5,65,66,50.8,1.3e-13,1,CL0168
AT2G19130.1,496,764,494,766,PF00069.24,Pkinase,Domain,4,260,264,158.0,2.7e-46,1,CL0016
AT2G28470.1,39,343,38,344,PF01301.18,Glyco_hydro_35,Domain,2,315,316,400.1,8.4e-120,1,CL0058
AT2G28470.1,774,851,774,851,PF02140.17,Gal_Lectin,Domain,1,80,80,69.2,2.8e-19,1,No_clan
AT2G28470.2,33,337,32,338,PF01301.18,Glyco_hydro_35,Domain,2,315,316,400.1,8.3e-120,1,CL0058
AT2G28470.2,768,845,768,845,PF02140.17,Gal_Lectin,Domain,1,80,80,69.2,2.8e-19,1,No_clan
AT2G35620.1,31,69,29,69,PF08263.11,LRRNT_2,Family,3,41,41,44.0,1.8e-11,1,No_clan
AT2G35620.1,123,179,121,181,PF13855.5,LRR_8,Repeat,3,59,61,31.9,7.5e-08,1,CL0022
AT2G35620.1,306,569,304,571,PF00069.24,Pkinase,Domain,3,260,264,159.1,1.3e-46,1,CL0016
AT2G35620.2,31,69,29,69,PF08263.11,LRRNT_2,Family,3,41,41,44.0,1.8e-11,1,No_clan
AT2G35620.2,123,179,121,181,PF13855.5,LRR_8,Repeat,3,59,61,31.9,7.5e-08,1,CL0022
AT2G35620.2,306,569,304,571,PF00069.24,Pkinase,Domain,3,260,264,159.1,1.3e-46,1,CL0016
AT2G46495.1,24,95,23,130,PF13947.5,GUB_WAK_bind,Domain,2,67,106,33.5,5.1e-08,1,No_clan
AT2G46495.1,320,362,318,362,PF13639.5,zf-RING_2,Domain,3,44,44,44.9,9.6e-12,1,CL0229
AT2G14900.1,50,108,49,108,PF02704.13,GASA,Family,2,60,60,75.4,2.6e-21,1,No_clan
AT2G42570.1,46,97,45,98,PF14416.5,PMR5N,Domain,2,52,53,75.3,3.1e-21,1,No_clan
AT2G42570.1,99,362,99,363,PF13839.5,PC-Esterase,Family,1,283,284,305.6,3.9e-91,1,CL0264
AT2G48010.1,286,557,283,557,PF07714.16,Pkinase_Tyr,Domain,4,260,260,137.1,5.8e-40,1,CL0016
AT2G33330.1,50,134,40,136,PF01657.16,Stress-antifung,Family,11,93,95,46.9,3e-12,1,No_clan
AT2G33330.1,154,239,149,240,PF01657.16,Stress-antifung,Family,7,94,95,39.4,6.5e-10,1,No_clan
AT2G32670.1,97,176,97,177,PF13774.5,Longin,Domain,1,83,84,81.5,3.2e-23,1,No_clan
AT2G32670.1,194,280,192,280,PF00957.20,Synaptobrevin,Family,3,89,89,114.8,1e-33,1,CL0445
AT2G04300.1,35,310,35,346,PF12819.6,Malectin_like,Domain,1,284,336,340.4,1e-101,1,CL0468
AT2G04300.1,376,434,374,434,PF13855.5,LRR_8,Repeat,3,61,61,35.9,4.3e-09,1,CL0022
AT2G04300.1,543,807,541,810,PF07714.16,Pkinase_Tyr,Domain,3,257,260,156.0,1e-45,1,CL0016
AT2G38840.1,42,287,40,294,PF02263.18,GBP,Domain,3,252,260,134.2,4.5e-39,1,CL0023
AT2G38840.1,294,422,293,427,PF02841.13,GBP_C,Domain,2,135,297,48.8,5.7e-13,1,CL0023
AT2G24710.1,48,394,46,395,PF01094.27,ANF_receptor,Family,3,351,352,224.4,2e-66,1,CL0144
AT2G24710.1,478,802,472,803,PF00497.19,SBP_bac_3,Domain,18,224,225,58.4,6.4e-16,1,CL0177
AT2G24710.1,580,838,580,889,PF00060.25,Lig_chan,Family,1,145,149,99.0,2e-28,1,CL0030
AT2G01880.1,42,251,41,252,PF00149.27,Metallophos,Domain,2,203,204,66.3,4.7e-18,1,CL0163
AT2G43070.1,102,171,76,171,PF02225.21,PA,Family,24,93,93,39.2,5.2e-10,1,CL0364
AT2G43070.1,246,524,243,527,PF04258.12,Peptidase_A22B,Family,4,281,284,270.5,1.6e-80,1,CL0130
AT2G30290.2,61,163,60,163,PF02225.21,PA,Family,2,93,93,47.8,1.1e-12,1,CL0364
AT2G30290.1,61,163,60,163,PF02225.21,PA,Family,2,93,93,47.9,1e-12,1,CL0364
AT2G01850.1,32,215,31,216,PF00722.20,Glyco_hydro_16,Domain,2,176,177,185.5,5.3e-55,1,CL0004
AT2G01850.1,249,290,245,290,PF06955.11,XET_C,Family,5,48,48,44.1,1.3e-11,1,CL0004
AT2G26020.1,31,80,31,80,PF00304.19,Gamma-thionin,Domain,1,47,47,49.4,3.7e-13,1,CL0054
AT2G43570.1,33,64,29,64,PF00187.18,Chitin_bind_1,Domain,8,38,38,32.7,6.9e-08,1,No_clan
AT2G43570.1,81,224,80,230,PF00182.18,Glyco_hydro_19,Domain,2,158,232,139.2,1.7e-40,1,CL0037
AT2G43570.1,229,277,224,277,PF00182.18,Glyco_hydro_19,Domain,184,232,232,27.5,2.4e-06,1,CL0037
AT2G20650.1,508,553,507,553,PF13639.5,zf-RING_2,Domain,2,44,44,34.5,1.7e-08,1,CL0229
AT2G20650.2,508,553,507,553,PF13639.5,zf-RING_2,Domain,2,44,44,34.5,1.7e-08,1,CL0229
AT2G36710.1,92,382,90,382,PF01095.18,Pectinesterase,Family,3,298,298,231.8,6.4e-69,1,CL0268
AT2G32380.1,9,144,9,146,PF10914.7,DUF2781,Family,1,143,145,113.0,1.4e-32,1,No_clan
AT2G25482.1,69,143,69,143,PF05617.10,Prolamin_like,Domain,1,74,74,57.3,1.2e-15,1,CL0482
AT2G07695.1,17,103,16,103,PF02790.14,COX2_TM,Family,2,89,89,91.8,2e-26,1,No_clan
AT2G28990.1,28,349,28,349,PF12819.6,Malectin_like,Domain,1,336,336,384.3,4.5e-115,1,CL0468
AT2G28990.1,580,844,578,846,PF00069.24,Pkinase,Domain,4,260,264,155.1,2.1e-45,1,CL0016
AT2G30890.1,55,181,55,189,PF03188.15,Cytochrom_B561,Family,1,131,137,33.6,3.5e-08,1,CL0328
AT2G01610.1,43,212,43,212,PF04043.14,PMEI,Domain,1,154,154,137.0,6.1e-40,1,No_clan
AT2G16630.1,30,114,30,121,PF01190.16,Pollen_Ole_e_I,Family,1,91,99,35.0,1.3e-08,1,No_clan
AT2G19230.1,33,359,33,360,PF12819.6,Malectin_like,Domain,1,335,336,359.4,1.7e-107,1,CL0468
AT2G19230.1,418,474,414,481,PF13855.5,LRR_8,Repeat,5,61,61,34.3,1.3e-08,1,CL0022
AT2G19230.1,573,837,570,839,PF00069.24,Pkinase,Domain,4,260,264,171.9,1.5e-50,1,CL0016
AT2G02147.1,31,80,31,80,PF00304.19,Gamma-thionin,Domain,1,47,47,48.4,7.7e-13,1,CL0054
AT2G41820.1,87,109,87,109,PF00560.32,LRR_1,Repeat,1,23,23,15.8,0.013,1,CL0022
AT2G41820.1,327,386,326,386,PF13855.5,LRR_8,Repeat,2,61,61,37.9,1e-09,1,CL0022
AT2G41820.1,610,882,608,883,PF07714.16,Pkinase_Tyr,Domain,3,259,260,101.0,6e-29,1,CL0016
AT2G07040.1,24,61,23,61,PF08263.11,LRRNT_2,Family,4,41,41,40.8,1.8e-10,1,No_clan
AT2G07040.1,342,607,339,609,PF00069.24,Pkinase,Domain,5,260,264,104.1,7.5e-30,1,CL0016
AT2G37710.1,25,275,24,277,PF00139.18,Lectin_legB,Domain,2,248,250,276.2,2.3e-82,1,CL0004
AT2G37710.1,348,616,347,618,PF00069.24,Pkinase,Domain,2,260,264,159.0,1.3e-46,1,CL0016
AT2G23950.1,32,71,31,71,PF08263.11,LRRNT_2,Family,2,41,41,45.4,6.4e-12,1,No_clan
AT2G23950.1,122,182,122,182,PF13855.5,LRR_8,Repeat,1,61,61,40.1,2.1e-10,1,CL0022
AT2G23950.1,300,566,299,568,PF00069.24,Pkinase,Domain,2,260,264,147.3,4.9e-43,1,CL0016
AT2G39360.1,33,379,33,380,PF12819.6,Malectin_like,Domain,1,335,336,119.3,1.8e-34,1,CL0468
AT2G39360.1,492,687,488,758,PF07714.16,Pkinase_Tyr,Domain,6,205,260,164.8,2.1e-48,1,CL0016
AT2G04037.1,71,141,70,142,PF05617.10,Prolamin_like,Domain,2,73,74,67.2,1e-18,1,CL0482
AT2G01660.1,32,129,31,130,PF01657.16,Stress-antifung,Family,2,94,95,68.3,6.3e-19,1,No_clan
AT2G01660.1,160,231,148,232,PF01657.16,Stress-antifung,Family,19,94,95,37.7,2.2e-09,1,No_clan
AT2G01660.2,32,129,31,130,PF01657.16,Stress-antifung,Family,2,94,95,68.6,5e-19,1,No_clan
AT2G01660.2,160,231,148,232,PF01657.16,Stress-antifung,Family,19,94,95,38.0,1.8e-09,1,No_clan
AT2G23770.1,121,166,121,166,PF01476.19,LysM,Domain,1,44,44,29.7,4.6e-07,1,CL0187
AT2G23770.1,188,232,188,232,PF01476.19,LysM,Domain,1,44,44,23.7,3.4e-05,1,CL0187
AT2G23770.1,385,594,370,597,PF07714.16,Pkinase_Tyr,Domain,48,257,260,125.5,2e-36,1,CL0016
AT2G31430.1,31,171,29,173,PF04043.14,PMEI,Domain,3,152,154,51.4,1.4e-13,1,No_clan
AT2G21160.1,24,247,1,258,PF03896.15,TRAP_alpha,Family,29,263,285,112.4,2.1e-32,1,No_clan
AT2G26720.1,37,119,37,119,PF02298.16,Cu_bind_like,Domain,1,84,84,109.6,5.1e-32,1,CL0026
AT2G27190.1,60,149,60,150,PF16656.4,Pur_ac_phosph_N,Domain,1,92,94,82.5,2.2e-23,1,CL0159
AT2G27190.1,162,360,161,360,PF00149.27,Metallophos,Domain,2,204,204,83.2,3.1e-23,1,CL0163
AT2G27190.1,386,445,386,449,PF14008.5,Metallophos_C,Domain,1,59,63,64.9,8.6e-18,1,No_clan
AT2G32270.1,53,336,51,336,PF02535.21,Zip,Family,3,333,333,235.7,7.5e-70,1,CL0184
AT2G01070.1,159,446,159,446,PF06814.12,Lung_7-TM_R,Family,1,295,295,359.7,1e-107,1,CL0192
AT2G01070.2,159,446,159,446,PF06814.12,Lung_7-TM_R,Family,1,295,295,360.1,7.9e-108,1,CL0192
AT2G17760.1,105,284,104,284,PF14543.5,TAXi_N,Domain,2,179,179,130.7,6.3e-38,1,CL0129
AT2G17760.1,304,444,303,446,PF14541.5,TAXi_C,Domain,2,159,161,64.0,1.3e-17,1,CL0129
AT2G29220.1,27,276,26,277,PF00139.18,Lectin_legB,Domain,2,249,250,239.5,3.6e-71,1,CL0004
AT2G29220.1,356,609,353,611,PF07714.16,Pkinase_Tyr,Domain,4,258,260,116.2,1.4e-33,1,CL0016
AT2G17430.1,31,495,30,504,PF03094.14,Mlo,Family,2,476,479,673.7,9.8e-203,1,No_clan
AT2G05530.1,1,83,1,108,PF07172.10,GRP,Family,1,92,95,60.0,2.6e-16,1,No_clan
AT2G40113.1,55,118,46,132,PF01190.16,Pollen_Ole_e_I,Family,20,86,99,26.6,5.3e-06,1,No_clan
AT2G45550.1,39,496,39,502,PF00067.21,p450,Domain,1,456,463,360.8,9.5e-108,1,No_clan
AT2G43860.1,60,385,60,391,PF00295.16,Glyco_hydro_28,Domain,1,320,325,290.7,1.2e-86,1,CL0268
